20020180,INT3324,1.3
20021289,INT3324,3.0
20021323,INT3324,9.8
20021331,INT3324,8.4
20021334,INT3324,3.4
20021336,INT3324,3.7
20021342,INT3324,9.6
20021349,INT3324,9.1
20021350,INT3324,8.4
20021359,INT3324,7.1
20020322,INT3324,3.6
20021365,INT3324,3.2
20020323,INT3324,3.3
20021371,INT3324,1.0
20021375,INT3324,0.2
20021376,INT3324,10
20020182,INT3324,6.0
20021383,INT3324,8.3
20020324,INT3324,3.9
20021387,INT3324,4.4
20021395,INT3324,0
20021398,INT3324,4.1
20021406,INT3324,4.6
20021413,INT3324,8.7
20021414,INT3324,2.6
20021421,INT3324,6.4
20021427,INT3324,8.5
20021430,INT3324,8.4
20021436,INT3324,6.4
20021439,INT3324,5.5
20021455,INT3324,5.4
20021475,INT3324,2.3
19020670,EET3027,4.0
19020686,EET3027,6.1
19020687,EET3027,2.2
19020690,EET3027,6.1
19020697,EET3027,5.8
19020701,EET3027,0.7
19020711,EET3027,4.9
19020729,EET3027,9.0
19020736,EET3027,5.4
19021638,EET3027,5.9
19020749,EET3027,9.5
19020752,EET3027,10
19020753,EET3027,3.5
19020760,EET3027,2.7
19020762,EET3027,0
19020758,EET3027,6.3
19020765,EET3027,7.5
19020766,EET3027,8.3
19020771,EET3027,4.8
19020780,EET3027,9.5
20020277,INT3307E,6.7
20020254,INT3307,6.1
19021211,INT3307E,6.6
19020031,INT3307,2.6
20020359,INT3307,6.6
19021212,INT3307E,10
20020360,INT3307,5.3
20021295,INT3307E,7.6
20020361,INT3307,2.7
20020363,INT3307,7.7
21021454,INT3307E,5.7
22028015,INT3307E,3.0
17020616,INT3307,9.7
20020190,INT3307,6.5
20020375,INT3307,7.5
20020098,INT3307,8.8
21020055,INT3307,5.8
20020191,INT3307,5.1
20020381,INT3307,6.9
20020384,INT3307,2.0
20020385,INT3307,1.9
22028009,INT3307E,7.2
19020253,INT3307,3.0
20020007,INT3307E,1.3
21021472,INT3307E,4.3
21020300,INT3307,9.5
19020241,INT3307,5.8
19020248,INT3307,3.7
19020252,INT3307,5.3
20020393,INT3307,1.8
20020132,INT3307E,6.2
20020394,INT3307,5.2
20020257,INT3307,3.8
20020101,INT3307,9.1
22022595,INT3307,4.3
20020134,INT3307E,6.7
20020400,INT3307,1.2
20020103,INT3307,1.8
20020403,INT3307,7.9
20020405,INT3307,9.7
20020404,INT3307,6.6
21020070,INT3307,6.3
21020201,INT3307E,7.6
